,0
0,100101
1,100102
2,100103
3,100104
4,100201
5,100202
6,100203
7,100204
8,100205
9,100206
10,100301
11,100302
12,100303
13,100304
14,100401
15,100402
16,100403
17,100404
18,100501
19,100502
20,100503
21,100504
22,100601
23,100602
24,100603
25,100604
26,100701
27,100702
28,100703
29,100704
30,100705
31,100706
32,100801
33,100802
34,100803
35,100804
36,100805
37,100806
38,100807
39,100808
40,100901
41,100902
42,100903
43,100904
44,100905
45,100906
46,100907
47,101001
48,101201
49,101202
50,101203
51,101204
52,101205
53,101206
54,101207
55,101208
56,101301
57,101302
58,101303
59,101401
60,101402
61,101403
62,101404
63,101405
64,101501
65,101502
66,101503
67,101504
68,101505
69,101506
70,101601
71,101602
72,101603
73,101604
74,101605
75,101701
76,101801
77,101802
78,101803
79,101804
80,101901
81,101902
82,101903
83,101904
84,101905
85,102001
86,102002
87,102003
88,102004
89,102101
90,102102
91,102103
92,102104
93,102105
94,102106
95,102107
96,102201
97,102202
98,102203
99,102204
100,102205
101,102206
102,102301
103,102302
104,102303
105,102304
106,102305
107,102306
108,102307
109,102401
110,102402
111,102403
112,102404
113,102405
114,102406
115,102501
116,102502
117,102503
118,102601
119,102602
120,102603
121,102604
122,102701
123,102702
124,102703
125,102704
126,102801
127,102901
128,102902
129,102903
130,103001
131,103002
132,103003
133,103101
134,103102
135,103103
136,103104
137,103105
138,103106
139,103201
140,103202
141,103203
142,103204
143,103205
144,103301
145,103302
146,103303
147,103304
148,103305
149,103401
150,103402
151,103403
152,103404
153,103501
154,103502
155,103503
156,103504
157,103601
158,103602
159,103603
160,103604
161,103701
162,103702
163,103703
164,103704
165,103705
166,103801
167,103802
168,103803
169,103804
170,103805
171,103901
172,104001
173,104002
174,104003
175,104004
176,104005
177,104006
178,104101
179,104102
180,104103
181,104104
182,104201
183,104202
184,104203
185,104204
186,104205
187,104206
188,104207
189,104301
190,104302
191,104303
192,104401
193,104402
194,104403
195,104404
196,104405
197,104501
198,104502
